,logFC,logCPM,F,PValue,FDR
SACS,2.03150968811934,5.87219060855845,40.666695218296,1.56129143427818e-06,6.66047956418474e-06
GLIPR2,-3.68960267871215,6.46182204062006,178.579188719026,2.06648132179982e-12,1.50063694188677e-10
MMP17,2.12259152030513,4.54397917039751,90.4642581598227,1.72752365136377e-09,2.31467944182579e-08
SLC35A3,-2.3655827644033,6.11903577371779,50.846653111873,2.70261007286066e-07,1.48213567254123e-06
ACER2,2.50421088954937,1.85603528589791,17.9648838674394,0.0003037252967753,0.0006793481893264
BICDL2,3.20276789534095,2.99844155471321,78.0495126557076,6.733376685922971e-09,6.94064011501119e-08
SMOC2,2.43071249551829,2.20593145262056,46.0755612581137,5.94884058728114e-07,2.8973139951468e-06
LRRC55,6.23377910689859,2.13659382178405,55.7966742505008,1.66181316136809e-07,9.72853121550904e-07
PERP,-2.92555774453342,8.21747709849937,314.277572298368,5.06408469787571e-15,3.18475671328544e-12
RASGRF2,-2.33934838950534,4.04478798349339,69.5141929807857,1.89977391081177e-08,1.58065676795114e-07
PDE4D,-3.12329440907832,3.19913287239008,187.0337432716,1.27841828667354e-12,1.09435991877763e-10
TESPA1,-2.60984554884153,-1.35929117601281,16.2085576309698,0.0005169498636224,0.0010922023434429
COL4A1,-2.59834241726264,8.7388380316476,68.4826521337747,2.16757687642479e-08,1.77667081196365e-07
INHBE,2.9380900464482,2.49337970733674,37.847368854272,2.67088398021475e-06,1.05955327073796e-05
TICAM1,-2.02186746388595,2.33280426829917,58.4814540568592,8.46988902386284e-08,5.52144470401409e-07
KCNA1,4.47292412168106,-0.872750049379287,58.6582242828751,1.49967731465379e-07,8.9166646592525e-07
HAS3,4.55096363819608,5.34969263926404,31.2449134292623,1.04589897937062e-05,3.50240678946752e-05
LYPD3,2.63001870729778,1.7751570399107,33.8968670601502,5.92707024655399e-06,2.11697457880511e-05
SPOCK3,-3.61567488926146,3.22529187914525,25.7749727919231,3.71995006686918e-05,0.0001064042366991
CNTN4,-2.83736576572336,2.60545453864208,94.4124750082957,1.15653180045837e-09,1.68728330166195e-08
MCCC1,-2.99880110216338,6.83805146746609,229.926781694536,1.45802710789584e-13,2.6579727799257397e-11
KCNG1,-2.53058407928075,6.0408467837322,40.2332740036094,1.69289733606621e-06,7.13944240325998e-06
MEPE,-4.14102823547229,-0.479169014459559,41.1272521642707,1.76429047420549e-06,7.40188856526456e-06
DIO3,-7.31904602227366,5.41292399905066,689.272424785319,8.27874278093493e-19,1.07011029186365e-14
KCNQ4,2.52838796614997,2.60501433463584,75.0790175988804,9.56055189443093e-09,9.16763307028296e-08
SORCS3,2.48268224238181,0.245767390244858,13.0505282014182,0.0015196360591566,0.0028830312875715
AHSP,7.13345641831346,0.22723684077094,72.3593142823636,1.88918081983282e-08,1.57749039258133e-07
JAG1,3.63367237957188,4.83455415938693,62.908631727253,4.54199850913457e-08,3.31506904173199e-07
PTGES,2.09185186538691,2.47020720196421,10.5182250061739,0.003548671717796,0.0062137809027678
BMPR2,-2.2984907033373,6.12894248219334,131.34107821355,4.6950053187819896e-11,1.44367645053862e-09
FANK1,-2.56820583202248,1.6607708598521,40.1449339427098,1.72117329306635e-06,7.24686839940574e-06
PGA5,4.70031709098051,-1.15311558555065,25.9783192435567,3.53928637795828e-05,0.0001021863205751
THY1,4.01203819069967,8.38523911276366,18.1549755445127,0.0002871666800093,0.0006463116476594
LIFR,-2.12970574923414,5.90018824397882,79.8712047398058,5.45868059027425e-09,5.93930179376136e-08
FBLL1,2.32782261566872,0.174443092832984,20.8645208577761,0.0001329716700674,0.0003273889156747
PTGER2,5.91227134647046,0.419387537456449,88.9504966860083,2.0224009892048102e-09,2.61939430726066e-08
FLRT2,-2.28735778532403,3.75315763280656,64.6707697166425,3.5764296411548e-08,2.71775012002158e-07
DUSP26,2.33760238946786,0.869119315361396,28.8442025411425,1.79405849997138e-05,5.64508280687196e-05
